Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Reporting Type],[Sex]
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2003","33.31","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2005","30.76","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2007","30.94","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2009","32.24","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2011","30.85","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2013","32.72","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","703","Slovakia","2015","31.29","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2000","16.77","","ILOSTAT - LFS - Labour force survey","Data reference period: July | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2002","19.26","","ILOSTAT - LFS - Labour force survey","Data reference period: July | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2004","22.18","","ILOSTAT - LFS - Labour force survey","Data reference period: July | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2014","22.92","","ILOSTAT - LFS - Labour force survey","Data reference period: July | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2016","26.13","","ILOSTAT - LFS - Labour force survey","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2001","31.6","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2003","33.24","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2005","34.19","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2007","31.85","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2009","35.54","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2011","38.39","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2013","37.03","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2015","37.36","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2013","24.38","","ILOSTAT - LFS - Labour force survey","Data reference period: July | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","704","Viet Nam","2015","25.84","","ILOSTAT - LFS - Labour force survey","Data reference period: July | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2000","29.59","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2002","29.12","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2004","33.41","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2006","33.1","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2008","34.83","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2010","34.8","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2012","38.96","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2014","37.55","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2003","25.68","","ILOSTAT - LFS - Quarterly Labour Force Survey","Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2005","29.27","","ILOSTAT - LFS - Quarterly Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2007","31.66","","ILOSTAT - LFS - Quarterly Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2009","29.95","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2011","30.96","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2013","30.02","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2015","30.77","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","716","Zimbabwe","2011","20.59","","ILOSTAT - LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2000","31.53","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2002","31.57","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","705","Slovenia","2016","40.84","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2004","26.74","","ILOSTAT - LFS - Quarterly Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2006","30.84","","ILOSTAT - LFS - Quarterly Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2008","29.62","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2010","29.61","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2012","31.1","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2014","31.1","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","710","South Africa","2016","31.55","","ILOSTAT - LFS - Quarterly Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","716","Zimbabwe","2014","28.87","","ILOSTAT - LFS - Labour Force Survey","Data reference period: June","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2001","32.31","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2003","29.9","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","12","Algeria","2001","5.24","","ILOSTAT - LFS - Household Employment Survey","Data reference period: September","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","12","Algeria","2004","4.87","","ILOSTAT - LFS - Household Employment Survey","Data reference period: September","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","12","Algeria","2014","9.89","","ILOSTAT - LFS - Household Employment Survey","Data reference period: September","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","24","Angola","2011","31.85","","ILOSTAT - HS - Core Welfare Indicators Questionnaire","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2003","47.72","","ILOSTAT - LFS - Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2005","47.66","","ILOSTAT - LFS - Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2007","5.19","","ILOSTAT - LFS - Labour Force Survey","Data reference period: Annual or annual average | Population coverage: Excluding armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2009","19.2","","ILOSTAT - LFS - Labour Force Survey","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2011","32.8","","ILOSTAT - LFS - Labour Force Survey","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2013","32.99","","ILOSTAT - LFS - Labour Force Survey","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","31","Azerbaijan","2015","35.06","","ILOSTAT - LFS - Labour Force Survey","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2005","32.04","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2007","32.31","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2009","33.22","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2011","29.95","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2013","30.76","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","724","Spain","2015","31.38","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","740","Suriname","2013","35.81","","ILOSTAT - LFS - Continuous Household Sample Survey","Data reference period: First semester | Geographical coverage: Urban areas only | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2000","30.66","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2002","30.71","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2004","30.27","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","32","Argentina","2000","27.4","","ILOSTAT - LFS - Permanent Household Survey (Urban)","Break in series: Methodology revised | Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","32","Argentina","2002","25.77","","ILOSTAT - LFS - Permanent Household Survey (Urban)","Break in series: Methodology revised | Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","32","Argentina","2004","27.44","","ILOSTAT - LFS - Permanent Household Survey (Urban)","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","32","Argentina","2006","27.77","","ILOSTAT - LFS - Permanent Household Survey (Urban)","Break in series: Methodology revised | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","32","Argentina","2009","32.4","","ILOSTAT - LFS - Permanent Household Survey (Urban)","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","32","Argentina","2011","28.02","","ILOSTAT - LFS - Permanent Household Survey (Urban)","Break in series: Methodology revised | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2006","32.1","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2008","32.08","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2010","31.36","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2012","35.49","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2014","37.12","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","752","Sweden","2016","39.3","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","756","Switzerland","2001","25.34","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","756","Switzerland","2003","28.23","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","756","Switzerland","2005","28.29","","ILOSTAT - LFS - EU Labour Force Survey","Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","756","Switzerland","2007","30.42","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","756","Switzerland","2009","31.51","","ILOSTAT - LFS - EU Labour Force Survey","Repository: Eurostat special tabulation | Data reference period: Annual or annual average","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","8","Albania","2009","22.47","","ILOSTAT - LFS - Labour Force Survey","Data reference period: Noncalendar year | Population coverage: Excluding both institutional population and armed forces and/or conscripts","C","PERCENT","G","FEMALE"
"5","5.5","5.5.2","IC_GEN_MGTL","Proportion of women in managerial positions (%)","12","Algeria","2003","5.69","","ILOSTAT - LFS - Household Employment Survey","Data reference period: September","C","PERCENT","G","FEMALE"
