Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Age],[Reporting Type]
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","36","Australia","2018","130","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","39","Southern Europe","2018","910","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","40","Austria","2018","45","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","44","Bahamas","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","48","Bahrain","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","50","Bangladesh","2018","51","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","51","Armenia","2018","14","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","52","Barbados","2018","6","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","53","Australia and New Zealand","2018","149","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","54","Melanesia","2018","35","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","56","Belgium","2018","80","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","57","Micronesia","2018","8","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","60","Bermuda","2018","2","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","61","Polynesia","2018","19","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","62","Central and Southern Asia","2018","692","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","64","Bhutan","2018","25","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","68","Bolivia (Plurinational State of)","2018","26","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","70","Bosnia and Herzegovina","2018","22","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","72","Botswana","2018","9","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","76","Brazil","2018","107","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","84","Belize","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","90","Solomon Islands","2018","8","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","92","British Virgin Islands","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","100","Bulgaria","2018","89","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","104","Myanmar","2018","19","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","108","Burundi","2018","7","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","112","Belarus","2018","19","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","116","Cambodia","2018","16","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","120","Cameroon","2018","23","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","124","Canada","2018","62","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","132","Cabo Verde","2018","0","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","135","Caucasus and Central Asia","2018","205","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","140","Central African Republic","2018","9","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","143","Central Asia","2018","132","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","144","Sri Lanka","2018","22","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","145","Western Asia","2018","321","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","148","Chad","2018","35","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","150","Europe","2018","3951","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","151","Eastern Europe","2018","958","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","152","Chile","2018","49","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","154","Northern Europe","2018","671","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","155","Western Europe","2018","1412","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","156","China","2018","631","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","170","Colombia","2018","20","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","174","Comoros","2018","7","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","178","Congo","2018","3","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","180","Democratic Republic of the Congo","2018","25","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","184","Cook Islands","2018","8","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","188","Costa Rica","2018","5","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","191","Croatia","2018","43","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","192","Cuba","2018","44","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","196","Cyprus","2018","18","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","202","Sub-Saharan Africa","2018","821","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","203","Czechia","2018","37","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","204","Benin","2018","11","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","208","Denmark","2018","54","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","212","Dominica","2018","3","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","214","Dominican Republic","2018","6","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","218","Ecuador","2018","19","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","222","El Salvador","2018","8","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","226","Equatorial Guinea","2018","0","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","231","Ethiopia","2018","115","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","232","Eritrea","2018","6","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","233","Estonia","2018","12","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","234","Faroe Islands","2018","2","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","238","Falkland Islands (Malvinas)","2018","3","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","242","Fiji","2018","12","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","246","Finland","2018","37","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","250","France","2018","514","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","254","French Guiana","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","262","Djibouti","2018","9","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","266","Gabon","2018","9","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","268","Georgia","2018","27","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","270","Gambia","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","276","Germany","2018","517","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","288","Ghana","2018","22","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","296","Kiribati","2018","2","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","300","Greece","2018","39","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","304","Greenland","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","308","Grenada","2018","1","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","312","Guadeloupe","2018","0","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","316","Guam","2018","5","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","320","Guatemala","2018","21","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","324","Guinea","2018","7","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","328","Guyana","2018","11","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","332","Haiti","2018","9","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","340","Honduras","2018","22","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","348","Hungary","2018","95","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","352","Iceland","2018","6","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","356","India","2018","223","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","360","Indonesia","2018","161","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","364","Iran (Islamic Republic of)","2018","59","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","368","Iraq","2018","24","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","372","Ireland","2018","39","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","376","Israel","2018","3","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","380","Italy","2018","315","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","384","Côte d'Ivoire","2018","10","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","388","Jamaica","2018","8","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","392","Japan","2018","50","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","398","Kazakhstan","2018","46","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
